analyse, 分析する
approach, アプローチ・接近する
area, 領域・地域
assess, 評価する
assume, 仮定する・思い込む
authority, 権威・当局
available, 利用可能な
benefit, 利益・恩恵
concept, 概念
consist, 構成される
constitute, 構成する
context, 文脈・背景
contract, 契約
create, 創造する
data, データ
define, 定義する
derive, 引き出す・由来する
distribute, 分配する
economy, 経済
environment, 環境
establish, 設立する・確立する
estimate, 見積もる
evident, 明白な
export, 輸出する
factor, 要因
finance, 財政・資金
formula, 公式・解決策
function, 機能
identify, 特定する
income, 収入
indicate, 示す
individual, 個人の・個人
interpret, 解釈する
involve, 巻き込む・伴う
issue, 問題・発行する
labour, 労働
legal, 合法的な・法律の
legislate, 法律を制定する
major, 主要な
method, 方法
occur, 起こる
percent, パーセント
period, 期間
policy, 政策・方針
principle, 原理・原則
proceed, 進む・続ける
process, 過程・処理する
require, 必要とする
research, 研究
respond, 応答する
role, 役割
section, 部分・部門
sector, 部門・セクター
significant, 重要な・かなりの
similar, 似ている
source, 源
specific, 明確な・特定の
structure, 構造
theory, 理論
vary, 異なる・変わる
