adjacent, 隣接した・近隣の
albeit, 〜にもかかわらず
assemble, 組み立てる・集める
collapse, 崩壊する・倒れる
colleague, 同僚
compile, 編集する・収集する
conceive, 思いつく・想像する
convince, 確信させる・納得させる
depress, 落胆させる・押し下げる
encounter, 遭遇する・出会う
enormous, 巨大な・膨大な
forthcoming, 近日公開の・率直な
incline, 傾ける・心を向けさせる
integrity, 誠実・完全性
intrinsic, 本質的な・固有の
invoke, 呼び出す・発動する
levy, 徴収する・課税
likewise, 同様に
nonetheless, それにもかかわらず
notwithstanding, にもかかわらず
odd, 奇妙な・奇数の
ongoing, 進行中の・継続している
panel, パネル・専門家集団
persist, 持続する・固執する
pose, 引き起こす・ポーズをとる
reluctance, 気が進まないこと・躊躇
so-called, いわゆる
straightforward, 率直な・わかりやすい
undergo, 経験する・受ける
whereby, それによって〜する
