achieve, 達成する
acquire, 獲得する
administrate, 管理する
affect, 影響を及ぼす
appropriate, 適切な
aspect, 側面
assist, 支援する
category, カテゴリー・分類
chapter, 章
commission, 委員会・委任する
community, 地域社会・共同体
complex, 複雑な
compute, 計算する
conclude, 結論づける
conduct, 実施する・導く
consequent, 結果として起こる
construct, 建設する・組み立てる
consume, 消費する
credit, 信用・単位
culture, 文化
design, 設計する・デザイン
distinct, 明らかに異なる
element, 要素
equate, 同一視する
evaluate, 評価する
feature, 特徴
final, 最終の
focus, 焦点を合わせる
impact, 影響・衝撃
injure, 傷つける
institute, 機関・設立する
invest, 投資する
item, 項目・品物
journal, 雑誌・定期刊行物
maintain, 維持する
normal, 標準の・普通の
obtain, 獲得する・手に入れる
participate, 参加する
perceive, 知覚する・認識する
positive, 肯定的な・積極的な
potential, 潜在的な・可能性
previous, 以前の
primary, 主要な・最初の
purchase, 購入する
range, 範囲
region, 地域
regulate, 規制する
relevant, 関連のある
reside, 居住する
resource, 資源
restrict, 制限する
secure, 安全な・確保する
seek, 探し求める
select, 選択する
site, 場所・用地
strategy, 戦略
survey, 調査
text, 本文・テキスト
tradition, 伝統
transfer, 移す・移動する
