alternative, 代替の・選択肢
circumstance, 状況・事情
comment, 批評・コメントする
compensate, 補償する・埋め合わせる
component, 構成要素・部品
consent, 同意・承諾する
considerable, かなりの・相当な
constant, 絶え間ない・一定の
constrain, 抑制する・制約する
contribute, 貢献する・寄付する
convene, 招集する・集まる
coordinate, 調整する・同調させる
core, 中核・核心
corporate, 企業の・法人の
correspond, 一致する・文通する
criteria, 基準（複数形）
deduce, 推測する・演繹する
demonstrate, 明示する・実演する
document, 文書・記録する
dominate, 支配する・優位に立つ
emphasis, 強調・重視
ensure, 確実にする・保証する
exclude, 排除する・除外する
framework, 枠組み・骨組み
fund, 資金・資金を提供する
illustrate, 説明する・挿絵を入れる
immigrate, 移住する
imply, ほのめかす・暗示する
initial, 初期の・頭文字
instance, 事例・実例
interact, 相互に作用する・交流する
justify, 正当化する
layer, 層・重なり
link, 関連づける・つなぐ
locate, 位置を特定する・置く
maximise, 最大化する
minor, より小さい・重要でない
negate, 否定する・無効にする
outcome, 結果・成果
partner, パートナー・提携する
philosophy, 哲学・原理
physical, 身体の・物理的な
proportion, 割合・比率
publish, 出版する・公表する
react, 反応する
register, 登録する・記録する
rely, 頼る・依存する
remove, 取り除く・撤去する
scheme, 計画・体系
sequence, 順序・連続
sex, 性別・性
shift, 移動する・変える
specify, 明記する・特定する
sufficient, 十分な
task, 任務・作業
technical, 技術的な・専門的な
technique, 技術・手法
technology, 科学技術・テクノロジー
valid, 妥当な・有効な
volume, 体積・容積・巻
