abstract, 抽象的な・要約
accurate, 正確な・的確な
acknowledge, 認める・謝意を表す
aggregate, 総計・集約する
allocate, 配分する・割り当てる
assign, 割り当てる・指定する
attach, 付ける・添付する
author, 著者・作家
bond, 結束・絆・債券
brief, 手短な・簡潔な
capable, 能力がある
cite, 引用する・言及する
cooperate, 協力する・連携する
discriminate, 差別する・区別する
display, 展示する・表す
diverse, 多様な・異なった
domain, 領域・領地
edit, 編集する
enhance, 高める・強化する
estate, 財産・不動産
exceed, 超える・上回る
expert, 専門家・熟練した
explicit, 明白な・明確な
federal, 連邦の・連邦政府の
fee, 料金・手数料
flexible, 柔軟な・適応性のある
furthermore, その上・さらに
gender, 性別・ジェンダー
ignorant, 無知な・知らない
incentive, 動機・報奨金
incidence, 発生・発生率
incorporate, 組み込む・法人化する
index, 索引・指標
inhibit, 抑制する・阻害する
initiate, 開始する・創始する
input, 入力・提供
instruct, 指示する・教える
intelligent, 知的な・聡明な
interval, 間隔・幕間
lecture, 講義・講演
migrate, 移住する・移動する
minimum, 最小・最低限
ministry, 省・内閣
motive, 動機
neutral, 中立の
nevertheless, それにもかかわらず
overseas, 海外の・海外へ
precede, 先行する・先立つ
presume, 推定する・仮定する
rational, 合理的な・理性的な
recover, 回復する・取り戻す
reveal, 明らかにする・暴露する
scope, 範囲・視野
subsidy, 助成金・補助金
tape, テープ・録音する
trace, 追跡する・跡
transform, 変形させる・一変させる
transport, 輸送する・運ぶ
underlie, 根底にある
utilise, 利用する・活用する
