adapt, 適応させる・合わせる
adult, 成人・大人の
advocate, 主張する・支持者
aid, 援助・救済
channel, 水路・経路・伝える
chemical, 化学の・化学物質
classic, 典型的な・第一級の
comprehensive, 包括的な・広範囲の
comprise, 構成する・〜から成る
confirm, 確認する・裏付ける
contrary, 反対の・逆の
convert, 変換する・変える
couple, 一対・結合する
decade, 10年間
definite, 明確な・確定した
deny, 否定する・拒絶する
differentiate, 区別する・識別する
dispose, 処分する・配置する
dynamic, 動的な・精力的な
eliminate, 排除する・除去する
empirical, 経験的な・実験に基づいた
equip, 備え付ける・装備させる
extract, 抽出する・引き出す
file, ファイル・提出する
finite, 有限の・限定された
foundation, 基礎・設立・財団
globe, 地球・世界
grade, 等級・成績・段階をつける
guarantee, 保証する・確約する
hierarchy, 階層制・ヒエラルキー
identical, 同一の・全く同じ
ideology, イデオロギー・観念形態
infer, 推測する・推論する
innovate, 刷新する・革新を起こす
insert, 挿入する・差し込む
intervene, 介入する・仲裁する
isolate, 隔離する・孤立させる
media, メディア・媒体
mode, 方式・様式
paradigm, 模範・パラダイム
phenomenon, 現象・事象
priority, 優先事項・優先権
prohibit, 禁止する
publication, 出版・発行・出版物
quote, 引用する・見積もる
release, 解放する・公開する
reverse, 逆にする・覆す
simulate, 模擬実験する・シミュレーションする
sole, 唯一の・単独の
somewhat, いくぶん・多少
submit, 提出する・服従する
successor, 後継者・後継
survive, 生き残る・存続する
thesis, 論文・命題
topic, 話題・主題
transmit, 送信する・伝える
ultimate, 究極の・最終的な
unique, 独特の・唯一の
visible, 目に見える・明らかな
voluntary, 自発的な・任意の
