abandon, 放棄する・捨てる
accompany, 同伴する・伴う
accumulate, 蓄積する・ためる
ambiguous, あいまいな・多義の
append, 追加する・添付する
appreciate, 正当に評価する・感謝する
arbitrary, 任意の・独断的な
automate, 自動化する
bias, 偏見・先入観
chart, 図表・記録する
clarify, 明確にする・解明する
commodity, 商品・日用品
complement, 補完する・補足物
conform, 適合する・従う
contemporary, 現代の・同時代の
contradict, 矛盾する・否定する
crucial, 極めて重要な・決定的な
currency, 通貨・普及
denote, 示す・意味する
detect, 検知する・見つけ出す
deviate, 外れる・逸脱する
displace, 取って代わる・立ち退かせる
drama, 劇・劇的な出来事
eventual, 最終的な・結果として起こる
exhibit, 展示する・示す
exploit, 不当に利用する・開発する
fluctuate, 変動する・上下する
guideline, 指針・ガイドライン
highlight, 強調する・目立たせる
implicit, 暗黙の・潜在的な
induce, 引き起こす・誘発する
inevitable, 避けられない・必然的な
infrastructure, 社会基盤・インフラ
inspect, 検査する・視察する
intense, 強烈な・激しい
manipulate, 操作する・巧みに操る
minimise, 最小化する・軽視する
nuclear, 核の・原子力の
offset, 相殺する・埋め合わせる
paragraph, 段落・パラグラフ
plus, 加えて・有利な点
practitioner, 実務家・専門職
predominant, 圧倒的な・主要な
prospect, 見通し・見込み
radical, 根本的な・急進的な
random, 無作為の・手当たり次第の
reinforce, 強化する・補強する
restore, 回復させる・修復する
revise, 改訂する・見直す
schedule, 予定を立てる・日程表
tense, 緊張した・時制
terminate, 終わらせる・終了する
theme, 主題・テーマ
thereby, それによって
uniform, 一様な・均一の
vehicle, 車両・手段・媒体
via, 〜を経由して・〜によって
virtual, 実質上の・仮想の
visual, 視覚の・目に見える
widespread, 広範囲にわたる・普及した
