accommodate, 収容する・適応させる
analogy, 類推・類似点
anticipate, 予期する・期待する
assure, 保証する・安心させる
attain, 達成する・到達する
behalf, 支持・利益（〜の代理で）
bulk, 大半・大部分
cease, やむ・中止する
coherent, 首尾一貫した・理路整然とした
coincide, 一致する・同時に起こる
commence, 開始する・始まる
compatible, 互換性のある・適合する
concurrent, 同時発生の・兼任の
confine, 制限する・閉じ込める
controversy, 論争・議論
converse, 逆の・反対
device, 装置・機器
devote, 捧げる・専念する
diminish, 減少する・衰える
distort, 歪める・曲解する
duration, 期間・持続時間
erode, 腐食する・徐々に損なう
ethic, 倫理・道徳
format, 形式・初期化する
found, 設立する・創設する
inherent, 固有の・生まれつきの
insight, 洞察・見識
integral, 不可欠な・統合された
intermediate, 中間の・中級の
manual, 手動の・説明書
mature, 成熟した・熟成する
mediate, 仲介する・調停する
medium, 媒体・中間の
military, 軍の・軍事的な
minimal, 最小の・ごくわずかの
mutual, 相互の・共通の
norm, 規範・基準
overlap, 重複する・重なり合う
passive, 受動的な・消極的な
portion, 部分・分け前
preliminary, 予備の・準備の
protocol, 議定書・手続き規定
qualitative, 質的な
refine, 洗練する・精製する
relax, くつろぐ・緩和する
restrain, 抑制する・制止する
revolution, 革命・大改革
rigid, 厳格な・硬直した
route, ルート・道順
scenario, 筋書き・想定される状況
sphere, 球体・範囲・領域
subordinate, 下位の・従属する
supplement, 補足・補う
suspend, 一時停止する・中断する
team, チーム・共同作業する
temporary, 一時的な・臨時の
trigger, 引き金・引き起こす
unify, 統合する・統一する
violate, 違反する・侵害する
vision, 視覚・先見の明・展望
